COUNTY,fips,cases
Thomas,20193,3017
Trego,20195,946
Wabaunsee,20197,1996
Wallace,20199,488
Washington,20201,1619
Wichita,20203,598
Wilson,20205,3449
Woodson,20207,1036
Wyandotte,20209,54575
Adair,21001,7803
Allen,21003,8512
Anderson,21005,8489
Ballard,21007,1742
Barren,21009,17288
Bath,21011,4646
Bell,21013,11139
Boone,21015,47219
Bourbon,21017,7807
Boyd,21019,22874
Boyle,21021,11425
Bracken,21023,2752
Breathitt,21025,5389
Breckinridge,21027,6685
Bullitt,21029,29123
Butler,21031,4746
Caldwell,21033,5077
Calloway,21035,11782
Campbell,21037,30133
Carlisle,21039,1356
Carroll,21041,4321
Carter,21043,12042
Casey,21045,5388
Christian,21047,20105
Clark,21049,14495
Clay,21051,9730
Clinton,21053,4759
Crittenden,21055,2845
Cumberland,21057,2772
Daviess,21059,38783
Edmonson,21061,3288
Elliott,21063,3680
Estill,21065,5296
Fayette,21067,122877
Fleming,21069,4981
Floyd,21071,16922
Franklin,21073,18545
Fulton,21075,1476
Gallatin,21077,2799
Garrard,21079,6014
Grant,21081,9976
Graves,21083,13659
Grayson,21085,10065
Green,21087,4827
Greenup,21089,16765
Hancock,21091,3153
Hardin,21093,43711
Harlan,21095,12804
Harrison,21097,8524
Hart,21099,6888
Henderson,21101,17657
Henry,21103,6386
Hickman,21105,1100
Hopkins,21107,19722
Jackson,21109,5219
Jefferson,21111,282746
Jessamine,21113,19107
Johnson,21115,9070
Kenton,21117,54074
Knott,21119,6064
Knox,21121,14999
Larue,21123,4817
Laurel,21125,26976
Lawrence,21127,5548
Lee,21129,3505
Leslie,21131,5217
Letcher,21133,9847
Lewis,21135,5744
Lincoln,21137,8904
Livingston,21139,3101
Logan,21141,10322
Lyon,21143,3619
Madison,21151,35443
Magoffin,21153,5143
Marion,21155,8038
Marshall,21157,10247
Martin,21159,4230
Mason,21161,6310
McCracken,21145,23942
McCreary,21147,7713
McLean,21149,3336
Meade,21163,7464
Menifee,21165,2364
Mercer,21167,9449
Metcalfe,21169,3720
Monroe,21171,4501
Montgomery,21173,11351
Morgan,21175,6720
Muhlenberg,21177,13284
Nelson,21179,19224
Nicholas,21181,2717
Ohio,21183,8956
Oldham,21185,23641
Owen,21187,3126
Owsley,21189,2094
Pendleton,21191,4367
Perry,21193,15989
Pike,21195,25157
Powell,21197,6473
Pulaski,21199,22113
Robertson,21201,878
Rockcastle,21203,6652
Rowan,21205,9776
Russell,21207,8367
Scott,21209,22857
Shelby,21211,16888
Simpson,21213,7513
Spencer,21215,7070
Taylor,21217,11828
Todd,21219,3556
Trigg,21221,5094
Trimble,21223,2751
Union,21225,5450
Unknown,,2504
Warren,21227,55172
Washington,21229,5085
Wayne,21231,8319
Webster,21233,4899
Whitley,21235,17160
Wolfe,21237,3563
Woodford,21239,9505
Acadia,22001,18916
Allen,22003,9056
Ascension,22005,45284
Assumption,22007,6786
Avoyelles,22009,14344
Beauregard,22011,11191
Bienville,22013,4994
Bossier,22015,50986
Caddo,22017,88493
Calcasieu,22019,68051
Caldwell,22021,4606
Cameron,22023,1387
Catahoula,22025,3133
Claiborne,22027,4107
Concordia,22029,6447
De Soto,22031,9764
East Baton Rouge,22033,144239
East Carroll,22035,3345
East Feliciana,22037,8355
Evangeline,22039,10214
Franklin,22041,8875
Grant,22043,7530
Iberia,22045,23860
Iberville,22047,11652
Jackson,22049,5587
Jefferson,22051,142302
Jefferson Davis,22053,8183
LaSalle,22059,5087
Lafayette,22055,79038
Lafourche,22057,34863
Lincoln,22061,15398
Livingston,22063,47266
Madison,22065,3933
Morehouse,22067,8494
Natchitoches,22069,13020
Orleans,22071,113978
Ouachita,22073,64756
Plaquemines,22075,7928
Pointe Coupee,22077,7955
Rapides,22079,42626
Red River,22081,2571
Richland,22083,8982
Sabine,22085,8021
St. Bernard,22087,14422
St. Charles,22089,17199
St. Helena,22091,2274
St. James,22093,7343
St. John the Baptist,22095,13251
St. Landry,22097,27782
St. Martin,22099,15822
St. Mary,22101,15264
St. Tammany,22103,91332
Tangipahoa,22105,45203
Tensas,22107,1329
Terrebonne,22109,38871
Union,22111,8794
Unknown,,1240
Vermilion,22113,19076
Vernon,22115,11767
Washington,22117,16250
Webster,22119,14439
West Baton Rouge,22121,9658
West Carroll,22123,4839
West Feliciana,22125,3356
Winn,22127,5557
Androscoggin,23001,28390
Aroostook,23003,18273
Cumberland,23005,66198
Franklin,23007,7304
Hancock,23009,10161
Kennebec,23011,30041
Knox,23013,8116
Lincoln,23015,6908
Oxford,23017,14510
Penobscot,23019,37404
Piscataquis,23021,3915
Sagadahoc,23023,7003
Somerset,23025,12915
Unknown,,12
Waldo,23027,8054
Washington,23029,5725
York,23031,51831
Allegany,24001,21688
Anne Arundel,24003,119622
Baltimore,24005,172188
Baltimore city,24510,149281
Calvert,24009,14769
Caroline,24011,7324
Carroll,24013,28088
Cecil,24015,20323
Charles,24017,38648
Dorchester,24019,9547
Frederick,24021,58415
Garrett,24023,7184
Harford,24025,50034
Howard,24027,64068
Kent,24029,3952
Montgomery,24031,245582
Prince George's,24033,229180
Queen Anne's,24035,8833
Somerset,24039,6184
St. Mary's,24037,24561
Talbot,24041,7223
Washington,24043,40949
Wicomico,24045,24832
Worcester,24047,10863
Barnstable,25001,49493
Berkshire,25003,35346
Bristol,25005,182151
Dukes,25007,4358
Essex,25009,256681
Franklin,25011,14714
Hampden,25013,171829
Hampshire,25015,39662
Middlesex,25017,436797
Nantucket,25019,3948
Norfolk,25021,173464
Plymouth,25023,143431
Suffolk,25025,267874
Unknown,,200873
Worcester,25027,240341
Alcona,26001,1930
Alger,26003,2272
Allegan,26005,32161
Alpena,26007,6567
Antrim,26009,5273
Arenac,26011,3904
Baraga,26013,2776
Barry,26015,16934
Bay,26017,31709
Benzie,26019,4134
Berrien,26021,42016
Branch,26023,14331
Calhoun,26025,42499
Cass,26027,13113
Charlevoix,26029,5863
Cheboygan,26031,5787
Chippewa,26033,13377
Clare,26035,8148
Clinton,26037,28129
Crawford,26039,3195
Delta,26041,12429
Dickinson,26043,9358
Eaton,26045,35015
Emmet,26047,7600
Genesee,26049,125052
Gladwin,26051,6787
Gogebic,26053,4293
Grand Traverse,26055,21528
Gratiot,26057,15893
Hillsdale,26059,12704
Houghton,26061,9540
Huron,26063,9748
Ingham,26065,84720
Ionia,26067,22991
Iosco,26069,5688
Iron,26071,3602
Isabella,26073,17964
Jackson,26075,55504
Kalamazoo,26077,75681
Kalkaska,26079,4499
Kent,26081,201604
Keweenaw,26083,663
Lake,26085,2458
Lapeer,26087,24821
Leelanau,26089,4432
Lenawee,26091,32320
Livingston,26093,58236
Luce,26095,2527
Mackinac,26097,2990
Macomb,26099,300364
Manistee,26101,5630
Marquette,26103,20120
Mason,26105,8342
Mecosta,26107,10292
Menominee,26109,7161
Midland,26111,23477
Missaukee,26113,3586
Monroe,26115,48302
Montcalm,26117,20041
Montmorency,26119,1995
Muskegon,26121,50765
Newaygo,26123,13691
Oakland,26125,384243
Oceana,26127,7724
Ogemaw,26129,5076
Ontonagon,26131,1341
Osceola,26133,5992
Oscoda,26135,1694
Otsego,26137,6779
Ottawa,26139,87845
Presque Isle,26141,2382
Roscommon,26143,5620
Saginaw,26145,62152
Sanilac,26151,10606
Schoolcraft,26153,2234
Shiawassee,26155,22189
St. Clair,26147,50501
St. Joseph,26149,16077
Tuscola,26157,15697
Unknown,,16299
Van Buren,26159,20780
Washtenaw,26161,110029
Wayne,26163,535461
Wexford,26165,8663
Aitkin,27001,3696
Anoka,27003,119208
Becker,27005,10489
Beltrami,27007,14371
Benton,27009,17025
Big Stone,27011,1773
Blue Earth,27013,21349
Brown,27015,7968
Carlton,27017,11435
Carver,27019,32024
Cass,27021,8619
Chippewa,27023,3826
Chisago,27025,17265
Clay,27027,23697
Clearwater,27029,2535
Cook,27031,826
Cottonwood,27033,3786
Crow Wing,27035,19357
Dakota,27037,136888
Dodge,27039,6721
Douglas,27041,13389
Faribault,27043,4465
Fillmore,27045,5866
Freeborn,27047,10566
Goodhue,27049,15594
Grant,27051,1818
Hennepin,27053,385297
Houston,27055,5487
Hubbard,27057,6107
Isanti,27059,11736
Itasca,27061,13584
Jackson,27063,2668
Kanabec,27065,4354
Kandiyohi,27067,15907
Kittson,27069,1247
Koochiching,27071,3711
Lac qui Parle,27073,2196
Lake,27075,2644
Lake of the Woods,27077,925
Le Sueur,27079,7486
Lincoln,27081,1517
Lyon,27083,8291
Mahnomen,27087,2180
Marshall,27089,2522
Martin,27091,6669
McLeod,27085,13035
Meeker,27093,7187
Mille Lacs,27095,8417
Morrison,27097,11161
Mower,27099,13850
Murray,27101,2399
Nicollet,27103,9870
Nobles,27105,8168
Norman,27107,1796
Olmsted,27109,53047
Otter Tail,27111,16408
Pennington,27113,4318
Pine,27115,8566
Pipestone,27117,2403
Polk,27119,10673
Pope,27121,3976
Ramsey,27123,159278
Red Lake,27125,1070
Redwood,27127,4774
Renville,27129,4557
Rice,27131,20723
Rock,27133,2784
Roseau,27135,5060
Scott,27139,47916
Sherburne,27141,31958
Sibley,27143,4249
St. Louis,27137,60512
Stearns,27145,61532
Steele,27147,12031
Stevens,27149,3313
Swift,27151,2723
Todd,27153,8458
Traverse,27155,1035
Unknown,,926
Wabasha,27157,6672
Wadena,27159,5229
Waseca,27161,6369
Washington,27163,82536
Watonwan,27165,3453
Wilkin,27167,1945
Winona,27169,15894
Wright,27171,42752
Yellow Medicine,27173,3157
Adams,28001,8581
Alcorn,28003,12792
Amite,28005,3879
Attala,28007,6787
Benton,28009,2815
Bolivar,28011,11607
Calhoun,28013,5583
Carroll,28015,3079
Chickasaw,28017,7006
Choctaw,28019,2892
Claiborne,28021,2563
Clarke,28023,4885
Clay,28025,6211
Coahoma,28027,8182
Copiah,28029,9233
Covington,28031,8671
DeSoto,28033,61426
Forrest,28035,27483
Franklin,28037,2367
George,28039,8772
Greene,28041,3895
Grenada,28043,6419
Hancock,28045,14945
Harrison,28047,66005
Hinds,28049,67894
Holmes,28051,5242
Humphreys,28053,2386
Issaquena,28055,307
Itawamba,28057,9442
Jackson,28059,45879
Jasper,28061,6150
Jefferson,28063,1791
Jefferson Davis,28065,3665
Jones,28067,26480
Kemper,28069,2636
Lafayette,28071,18921
Lamar,28073,22024
Lauderdale,28075,22065
Lawrence,28077,4564
Leake,28079,7686
Lee,28081,33952
Leflore,28083,8663
Lincoln,28085,10493
Lowndes,28087,21289
Madison,28089,31797
Marion,28091,8787
Marshall,28093,12037
Monroe,28095,13757
Montgomery,28097,3696
Neshoba,28099,12860
Newton,28101,7131
Noxubee,28103,3632
Oktibbeha,28105,13757
Panola,28107,12437
Pearl River,28109,17813
Perry,28111,3752
Pike,28113,12815
Pontotoc,28115,12825
Prentiss,28117,10235
Quitman,28119,1833
Rankin,28121,46941
Scott,28123,7882
Sharkey,28125,1169
Simpson,28127,8667
Smith,28129,5062
Stone,28131,6723
Sunflower,28133,7087
Tallahatchie,28135,3879
Tate,28137,8698
Tippah,28139,8938
Tishomingo,28141,7713
Tunica,28143,3057
Union,28145,11622
Walthall,28147,4686
Warren,28149,12800
Washington,28151,12998
Wayne,28153,6965
Webster,28155,4066
Wilkinson,28157,1943
Winston,28159,6736
Yalobusha,28161,4831
Yazoo,28163,10048
Adair,29001,6714
Andrew,29003,5654
Atchison,29005,1815
Audrain,29007,6848
Barry,29009,7941
Barton,29011,3365
Bates,29013,4455
Benton,29015,5487
Bollinger,29017,3256
Boone,29019,55423
Buchanan,29021,29689
Butler,29023,12401
Caldwell,29025,2073
Callaway,29027,14376
Camden,29029,10860
Cape Girardeau,29031,23400
Carroll,29033,2684
Carter,29035,1747
Cass,29037,30149
Cedar,29039,3729
Chariton,29041,1995
Christian,29043,24923
Clark,29045,1920
Clay,29047,33489
Clinton,29049,5744
Cole,29051,23938
Cooper,29053,4786
Crawford,29055,6554
Dade,29057,1810
Dallas,29059,4688
Daviess,29061,2023
DeKalb,29063,2548
Dent,29065,3956
Douglas,29067,3057
Dunklin,29069,9706
Franklin,29071,31378
Gasconade,29073,4086
Gentry,29075,2687
Greene,29077,84825
Grundy,29079,3131
Harrison,29081,2465
Henry,29083,7056
Hickory,29085,2404
Holt,29087,1314
Howard,29089,2957
Howell,29091,10976
Iron,29093,2691
Jackson,29095,117968
Jasper,29097,24335
Jefferson,29099,67734
Johnson,29101,14697
Joplin,,16427
Kansas City,,139510
Knox,29103,1184
Laclede,29105,9605
Lafayette,29107,9238
Lawrence,29109,9284
Lewis,29111,3359
Lincoln,29113,18454
Linn,29115,3167
Livingston,29117,4451
Macon,29121,4263
Madison,29123,4258
Maries,29125,1956
Marion,29127,9778
McDonald,29119,6658
Mercer,29129,903
Miller,29131,7058
Mississippi,29133,4414
Moniteau,29135,4365
Monroe,29137,2503
Montgomery,29139,3109
Morgan,29141,4909
New Madrid,29143,6094
Newton,29145,13801
Nodaway,29147,7643
Oregon,29149,2424
Osage,29151,3768
Ozark,29153,2034
Pemiscot,29155,3784
Perry,29157,6325
Pettis,29159,14912
Phelps,29161,12870
Pike,29163,5204
Platte,29165,12789
Polk,29167,9917
Pulaski,29169,10764
Putnam,29171,1175
Ralls,29173,2944
Randolph,29175,7183
Ray,29177,6198
Reynolds,29179,1384
Ripley,29181,3192
Saline,29195,7219
Schuyler,29197,891
Scotland,29199,837
Scott,29201,13847
Shannon,29203,1913
Shelby,29205,2069
St. Charles,29183,130078
St. Clair,29185,2616
St. Francois,29187,23469
St. Louis,29189,294301
St. Louis city,29510,76036
Ste. Genevieve,29186,4838
Stoddard,29207,7173
Stone,29209,6935
Sullivan,29211,2045
Taney,29213,16041
Texas,29215,5642
Vernon,29217,6143
Warren,29219,9906
Washington,29221,7073
Wayne,29223,2971
Webster,29225,10339
Worth,29227,561
Wright,29229,4578
Beaverhead,30001,2469
Big Horn,30003,5861
Blaine,30005,2590
Broadwater,30007,1545
Carbon,30009,2465
Carter,30011,291
Cascade,30013,30042
Chouteau,30015,1360
Custer,30017,3518
Daniels,30019,485
Dawson,30021,2767
Deer Lodge,30023,3255
Fallon,30025,798
Fergus,30027,2966
Flathead,30029,33849
Gallatin,30031,41767
Garfield,30033,251
Glacier,30035,4730
Golden Valley,30037,178
Granite,30039,672
Hill,30041,5400
Jefferson,30043,3149
Judith Basin,30045,283
Lake,30047,8334
Lewis and Clark,30049,21851
Liberty,30051,528
Lincoln,30053,5632
Madison,30057,2392
McCone,30055,452
Meagher,30059,597
Mineral,30061,1367
Missoula,30063,34011
Musselshell,30065,1107
Park,30067,5132
Petroleum,30069,45
Phillips,30071,1146
Pondera,30073,1477
Powder River,30075,418
Powell,30077,2218
Prairie,30079,292
Ravalli,30081,8512
Richland,30083,3014
Roosevelt,30085,4013
Rosebud,30087,3112
Sanders,30089,2435
Sheridan,30091,917
Silver Bow,30093,9930
Stillwater,30095,1731
Sweet Grass,30097,911
Teton,30099,1539
Toole,30101,1411
Treasure,30103,148
Valley,30105,2164
Wheatland,30107,459
Wibaux,30109,246
Yellowstone,30111,51325
Adams,31001,7830
Antelope,31003,1295
Arthur,31005,34
Banner,31007,104
Blaine,31009,76
Boone,31011,1285
Box Butte,31013,2524
Boyd,31015,485
Brown,31017,655
Buffalo,31019,14323
Burt,31021,1546
Butler,31023,2320
Cass,31025,7291
Cedar,31027,1759
Chase,31029,891
Cherry,31031,637
Cheyenne,31033,2403
Clay,31035,1740
Colfax,31037,2972
Cuming,31039,2046
Custer,31041,2397
Dakota,31043,7991
Dawes,31045,1512
Dawson,31047,5975
Deuel,31049,360
Dixon,31051,1405
Dodge,31053,12048
Douglas,31055,181265
Dundy,31057,410
Fillmore,31059,1319
Franklin,31061,509
Frontier,31063,621
Furnas,31065,1327
Gage,31067,4614
Garden,31069,486
Garfield,31071,469
Gosper,31073,452
Grant,31075,114
Greeley,31077,470
Hall,31079,19550
Hamilton,31081,2851
Harlan,31083,395
Hayes,31085,109
Hitchcock,31087,636
Holt,31089,2615
Hooker,31091,129
Howard,31093,1341
Jefferson,31095,1434
Johnson,31097,945
Kearney,31099,1422
Keith,31101,1796
Keya Paha,31103,136
Kimball,31105,832
Knox,31107,1969
Lancaster,31109,94771
Lincoln,31111,10809
Logan,31113,164
Loup,31115,92
Madison,31119,11571
McPherson,31117,77
Merrick,31121,2076
Morrill,31123,1351
Nance,31125,898
Nemaha,31127,1597
Nuckolls,31129,1104
Otoe,31131,3903
Pawnee,31133,520
Perkins,31135,579
Phelps,31137,2783
Pierce,31139,1541
Platte,31141,10382
Polk,31143,1382
Red Willow,31145,2707
Richardson,31147,2285
Rock,31149,194
Saline,31151,4452
Sarpy,31153,58879
Saunders,31155,5594
Scotts Bluff,31157,11443
Seward,31159,3759
Sheridan,31161,1145
Sherman,31163,688
Sioux,31165,82
Stanton,31167,757
Thayer,31169,1298
Thomas,31171,113
Thurston,31173,2146
Valley,31175,875
Washington,31177,5492
Wayne,31179,2142
Webster,31181,851
Wheeler,31183,139
York,31185,4726
Carson City,32510,17415
Churchill,32001,7617
Clark,32003,670318
Douglas,32005,8803
Elko,32007,12907
Esmeralda,32009,124
Eureka,32011,193
Humboldt,32013,2792
Lander,32015,1350
Lincoln,32017,681
Lyon,32019,12252
Mineral,32021,1502
Nye,32023,9147
Pershing,32027,2359
Storey,32029,196
Unknown,,11505
Washoe,32031,128045
White Pine,32033,1777
Belknap,33001,17452
Carroll,33003,12288
Cheshire,33005,19059
Coos,33007,8331
Grafton,33009,23272
Hillsborough,33011,121403
Merrimack,33013,40194
Rockingham,33015,84514
Strafford,33017,37008
Sullivan,33019,11870
Unknown,,2270
Atlantic,34001,91618
Bergen,34003,326116
Burlington,34005,141607
Camden,34007,169230
Cape May,34009,30465
Cumberland,34011,52760
Essex,34013,291535
Gloucester,34015,91448
Hudson,34017,238417
Hunterdon,34019,34655
Mercer,34021,111288
Middlesex,34023,275456
Monmouth,34025,223357
Morris,34027,165622
Ocean,34029,215741
Passaic,34031,193350
Salem,34033,18551
Somerset,34035,98112
Sussex,34037,45603
Union,34039,196290
Unknown,,1652
Warren,34041,32096
Bernalillo,35001,196931
Catron,35003,530
Chaves,35005,25081
Cibola,35006,10163
Colfax,35007,3076
Curry,35009,15362
De Baca,35011,754
Doña Ana,35013,77073
Eddy,35015,19266
Grant,35017,9864
Guadalupe,35019,1745
Harding,35021,103
Hidalgo,35023,1339
Lea,35025,23890
Lincoln,35027,6596
Los Alamos,35028,4584
Luna,35029,8012
McKinley,35031,33207
Mora,35033,985
Otero,35035,19260
Quay,35037,2561
Rio Arriba,35039,13335
Roosevelt,35041,6213
San Juan,35045,52373
San Miguel,35047,7654
Sandoval,35043,44979
Santa Fe,35049,40481
Sierra,35051,2492
Socorro,35053,4743
Taos,35055,7283
Torrance,35057,3772
Union,35059,1154
Unknown,,510
Valencia,35061,24519
Albany,36001,79286
Allegany,36003,10865
Broome,36007,59121
Cattaraugus,36009,19374
Cayuga,36011,20619
Chautauqua,36013,29669
Chemung,36015,26811
Chenango,36017,11885
Clinton,36019,22877
Columbia,36021,14022
Cortland,36023,13536
Delaware,36025,10233
Dutchess,36027,85367
Erie,36029,270837
Essex,36031,7793
Franklin,36033,12193
Fulton,36035,16727
Genesee,36037,16698
Greene,36039,11117
Hamilton,36041,1104
Herkimer,36043,17593
Jefferson,36045,27425
Lewis,36049,7404
Livingston,36051,14495
Madison,36053,16940
Monroe,36055,193341
Montgomery,36057,15138
Nassau,36059,550475
New York City,,3243605
Niagara,36063,59953
Oneida,36065,69539
Onondaga,36067,143488
Ontario,36069,26366
Orange,36071,140584
Orleans,36073,10640
Oswego,36075,34894
Otsego,36077,13404
Putnam,36079,31753
Rensselaer,36083,42067
Rockland,36087,119112
Saratoga,36091,61929
Schenectady,36093,43995
Schoharie,36095,6636
Schuyler,36097,4352
Seneca,36099,7731
St. Lawrence,36089,26510
Steuben,36101,25489
Suffolk,36103,569268
Sullivan,36105,24809
Tioga,36107,14160
Tompkins,36109,26810
Ulster,36111,43492
Warren,36113,19057
Washington,36115,15991
Wayne,36117,22054
Westchester,36119,336391
Wyoming,36121,9995
Yates,36123,4468
Alamance,37001,61797
Alexander,37003,12765
Alleghany,37005,3756
Anson,37007,8459
Ashe,37009,7616
Avery,37011,5551
Beaufort,37013,16077
Bertie,37015,5465
Bladen,37017,12117
Brunswick,37019,41066
Buncombe,37021,70919
Burke,37023,31964
Cabarrus,37025,72202
Caldwell,37027,30324
Camden,37029,2202
Carteret,37031,18514
Caswell,37033,6619
Catawba,37035,60541
Chatham,37037,18173
Cherokee,37039,8792
Chowan,37041,5286
Clay,37043,3476
Cleveland,37045,36770
Columbus,37047,19224
Craven,37049,32113
Cumberland,37051,115949
Currituck,37053,6304
Dare,37055,10031
Davidson,37057,56147
Davie,37059,14891
Duplin,37061,20941
Durham,37063,103110
Edgecombe,37065,17582
Forsyth,37067,125394
Franklin,37069,26466
Gaston,37071,81833
Gates,37073,2454
Graham,37075,2967
Granville,37077,19600
Greene,37079,7198
Guilford,37081,160477
Halifax,37083,18849
Harnett,37085,42759
Haywood,37087,17189
Henderson,37089,33254
Hertford,37091,6372
Hoke,37093,19508
Hyde,37095,1703
Iredell,37097,61783
Jackson,37099,12157
Johnston,37101,75731
Jones,37103,2915
Lee,37105,20121
Lenoir,37107,20294
Lincoln,37109,30334
Macon,37113,9799
Madison,37115,6300
Martin,37117,7613
McDowell,37111,17341
Mecklenburg,37119,367822
Mitchell,37121,4774
Montgomery,37123,9022
Moore,37125,31668
Nash,37127,32650
New Hanover,37129,64508
Northampton,37131,5915
Onslow,37133,65188
Orange,37135,39333
Pamlico,37137,3462
Pasquotank,37139,10681
Pender,37141,18734
Perquimans,37143,3561
Person,37145,12171
Pitt,37147,66952
Polk,37149,5041
Randolph,37151,44621
Richmond,37153,16444
Robeson,37155,52159
Rockingham,37157,27622
Rowan,37159,51603
Rutherford,37161,21671
Sampson,37163,23537
Scotland,37165,12856
Stanly,37167,24063
Stokes,37169,15598
Surry,37171,28622
Swain,37173,4999
Transylvania,37175,8360
Tyrrell,37177,1227
Union,37179,79315
Vance,37181,15859
Wake,37183,391064
Warren,37185,5841
Washington,37187,3905
Watauga,37189,15070
Wayne,37191,41921
Wilkes,37193,23021
Wilson,37195,27731
Yadkin,37197,15143
Yancey,37199,6338
Adams,38001,689
Barnes,38003,3601
Benson,38005,2288
Billings,38007,170
Bottineau,38009,1887
Bowman,38011,932
Burke,38013,491
Burleigh,38015,41126
Cass,38017,71291
Cavalier,38019,975
Dickey,38021,1794
Divide,38023,599
Dunn,38025,1198
Eddy,38027,896
Emmons,38029,840
Foster,38031,1169
Golden Valley,38033,515
Grand Forks,38035,27002
Grant,38037,556
Griggs,38039,678
Hettinger,38041,957
Kidder,38043,597
LaMoure,38045,1168
Logan,38047,557
McHenry,38049,1576
McIntosh,38051,896
McKenzie,38053,3650
McLean,38055,3182
Mercer,38057,2997
Morton,38059,13245
Mountrail,38061,3882
Nelson,38063,930
Oliver,38065,378
Pembina,38067,2396
Pierce,38069,1250
Ramsey,38071,4354
Ransom,38073,1926
Renville,38075,664
Richland,38077,4803
Rolette,38079,7963
Sargent,38081,1310
Sheridan,38083,345
Sioux,38085,1658
Slope,38087,72
Stark,38089,13816
Steele,38091,436
Stutsman,38093,8281
Towner,38095,759
Traill,38097,2491
Unknown,,0
Walsh,38099,4134
Ward,38101,24090
Wells,38103,1219
Williams,38105,12271
Rota,69100,422
Saipan,69110,12574
Tinian,69120,399
Adams,39001,8892
Allen,39003,33880
Ashland,39005,14894
Ashtabula,39007,25813
Athens,39009,19962
Auglaize,39011,14249
Belmont,39013,19225
Brown,39015,14141
Butler,39017,116470
Carroll,39019,6321
Champaign,39021,10762
Clark,39023,43457
Clermont,39025,65425
Clinton,39027,12806
Columbiana,39029,29714
Coshocton,39031,10073
Crawford,39033,14190
Cuyahoga,39035,349553
Darke,39037,15078
Defiance,39039,12378
Delaware,39041,56021
Erie,39043,24957
Fairfield,39045,47378
Fayette,39047,9388
Franklin,39049,365961
Fulton,39051,12592
Gallia,39053,10478
Geauga,39055,20488
Greene,39057,48376
Guernsey,39059,13638
Hamilton,39061,237748
Hancock,39063,21378
Hardin,39065,8815
Harrison,39067,4124
Henry,39069,7854
Highland,39071,13480
Hocking,39073,8625
Holmes,39075,5842
Huron,39077,17963
Jackson,39079,11815
Jefferson,39081,18770
Knox,39083,16524
Lake,39085,61823
Lawrence,39087,24412
Licking,39089,52817
Logan,39091,12754
Lorain,39093,89531
Lucas,39095,125808
Madison,39097,11591
Mahoning,39099,67308
Marion,39101,24471
Medina,39103,50812
Meigs,39105,6394
Mercer,39107,11348
Miami,39109,31921
Monroe,39111,4232
Montgomery,39113,162123
Morgan,39115,4109
Morrow,39117,9393
Muskingum,39119,31666
Noble,39121,3909
Ottawa,39123,10828
Paulding,39125,5550
Perry,39127,10334
Pickaway,39129,21239
Pike,39131,9983
Portage,39133,44220
Preble,39135,11637
Putnam,39137,9911
Richland,39139,39188
Ross,39141,24981
Sandusky,39143,17548
Scioto,39145,27773
Seneca,39147,15726
Shelby,39149,13298
Stark,39151,97787
Summit,39153,143024
Trumbull,39155,52561
Tuscarawas,39157,25396
Union,39159,19909
Van Wert,39161,8145
Vinton,39163,3692
Warren,39165,72513
Washington,39167,15472
Wayne,39169,28521
Williams,39171,11889
Wood,39173,38599
Wyandot,39175,6676
Adair,40001,9826
Alfalfa,40003,1880
Atoka,40005,4712
Beaver,40007,1183
Beckham,40009,7284
Blaine,40011,2928
Bryan,40013,17346
Caddo,40015,10185
Canadian,40017,48255
Carter,40019,19364
Cherokee,40021,17526
Choctaw,40023,5063
Cimarron,40025,712
Cleveland,40027,100436
Coal,40029,2116
Comanche,40031,39302
Cotton,40033,1694
Craig,40035,5989
Creek,40037,22674
Custer,40039,9728
Delaware,40041,13673
Dewey,40043,1234
Ellis,40045,1040
Garfield,40047,18076
Garvin,40049,8625
Grady,40051,17137
Grant,40053,1259
Greer,40055,1595
Harmon,40057,904
Harper,40059,838
Haskell,40061,3321
Hughes,40063,3108
Jackson,40065,8253
Jefferson,40067,1600
Johnston,40069,3922
Kay,40071,15700
Kingfisher,40073,4854
Kiowa,40075,2406
Latimer,40077,2717
Le Flore,40079,15541
Lincoln,40081,9919
Logan,40083,13591
Love,40085,3970
Major,40093,2542
Marshall,40095,5671
Mayes,40097,13279
McClain,40087,14767
McCurtain,40089,9730
McIntosh,40091,5557
Murray,40099,5330
Muskogee,40101,24367
Noble,40103,3602
Nowata,40105,3226
Okfuskee,40107,4243
Oklahoma,40109,244429
Okmulgee,40111,11685
Osage,40113,13880
Ottawa,40115,11661
Pawnee,40117,5067
Payne,40119,23254
Pittsburg,40121,13836
Pontotoc,40123,16635
Pottawatomie,40125,26790
Pushmataha,40127,3272
Roger Mills,40129,1115
Rogers,40131,31560
Seminole,40133,7725
Sequoyah,40135,12925
Stephens,40137,13507
Texas,40139,7040
Tillman,40141,1822
Tulsa,40143,212282
Unknown,,153
Wagoner,40145,27010
Washington,40147,15740
Washita,40149,3293
Woods,40151,2727
Woodward,40153,6170
Baker,41001,3837
Benton,41003,22143
Clackamas,41005,84167
Clatsop,41007,6357
Columbia,41009,10149
Coos,41011,14934
Crook,41013,7937
Curry,41015,4666
Deschutes,41017,61624
Douglas,41019,26014
Gilliam,41021,323
Grant,41023,2236
Harney,41025,1971
Hood River,41027,4656
Jackson,41029,54465
Jefferson,41031,9055
Josephine,41033,20935
Klamath,41035,17903
Lake,41037,1653
Lane,41039,79593
Lincoln,41041,9322
Linn,41043,33323
Malheur,41045,9702
Marion,41047,88147
Morrow,41049,3398
Multnomah,41051,171161
Polk,41053,20533
Sherman,41055,390
Tillamook,41057,5024
Umatilla,41059,26461
Union,41061,5834
Unknown,,4
